City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
Cayenne,20,GF,1604974410,100,4.93,-52.33,77.0,7.16
Tiksi,28,RU,1604974411,88,71.69,128.87,-11.51,5.84
Bambanglipuro,98,ID,1604974411,68,-7.95,110.28,84.72,12.1
Touba,23,CI,1604974411,72,8.28,-7.68,72.21,2.15
Tokat,9,TR,1604974412,97,40.42,36.58,39.63,2.82
Saint-Philippe,0,RE,1604974412,73,-21.36,55.77,71.6,11.41
Viedma,100,AR,1604974412,93,-40.81,-63.0,62.01,1.99
Kavieng,94,PG,1604974413,75,-2.57,150.8,83.37,8.37
Nanortalik,32,GL,1604974385,93,60.14,-45.24,27.88,6.2
Nara,40,JP,1604974413,50,34.69,135.8,62.01,5.82
Gisborne,100,NZ,1604974413,91,-38.65,178.0,57.99,3.0
Lompoc,1,US,1604974414,54,34.64,-120.46,53.6,8.05
Acapulco de Juárez,40,MX,1604974414,74,16.86,-99.89,82.4,6.93
Christchurch,89,NZ,1604974415,76,-43.53,172.63,57.0,8.05
Riyadh,0,SA,1604974375,53,24.69,46.72,71.6,3.36
Severo-Kuril'sk,100,RU,1604974416,79,50.68,156.12,37.44,10.8
Broome,1,US,1604974416,55,42.25,-75.83,60.8,5.82
Ozark,21,US,1604974417,93,37.02,-93.21,66.0,11.25
Celestún,10,MX,1604974417,85,20.87,-90.4,78.24,10.74
Lorengau,30,PG,1604974418,62,-2.02,147.27,86.38,5.35
Safi,0,MA,1604974418,85,32.3,-9.24,63.55,15.3
Laas,5,IT,1604974418,86,46.62,10.7,37.4,4.7
Esil,0,KZ,1604974419,94,51.96,66.4,29.75,11.25
Meulaboh,68,ID,1604974419,78,4.14,96.13,81.37,2.75
Samarai,89,PG,1604974420,78,-10.62,150.67,81.34,12.71
Acajutla,33,SV,1604974421,100,13.59,-89.83,70.0,6.44
College,75,US,1604974421,85,64.86,-147.8,24.8,2.01
Husavik,40,IS,1604974421,87,66.04,-17.34,42.8,4.7
Bilma,0,NE,1604974249,34,18.69,12.92,65.62,11.92
Tuatapere,0,NZ,1604974422,69,-46.13,167.68,61.0,7.0
Bambous Virieux,75,MU,1604974422,83,-20.34,57.76,73.0,10.29
Mercedes,4,AR,1604974423,84,-34.65,-59.43,62.01,3.0
Navolato,5,MX,1604974423,61,24.77,-107.69,82.4,6.93
Hong Kong,96,HK,1604974322,52,22.29,114.16,73.99,3.0
Morant Bay,20,JM,1604974424,88,17.88,-76.41,80.6,2.24
Ishim,96,RU,1604974346,97,56.11,69.49,30.22,14.16
Siniscola,100,IT,1604974424,100,40.57,9.69,50.0,2.24
Aklavik,55,CA,1604974263,77,68.22,-135.01,-0.4,9.17
São José da Coroa Grande,7,BR,1604974425,85,-8.9,-35.15,76.59,11.16
Bredasdorp,55,ZA,1604974425,87,-34.53,20.04,44.6,0.94
Portland,90,US,1604974218,75,45.52,-122.68,43.0,9.17
Kita,0,ML,1604974426,29,13.03,-9.49,73.96,4.72
San Cristobal,18,VE,1604974426,89,7.77,-72.22,67.33,0.94
Torbay,90,CA,1604974426,100,47.67,-52.73,41.0,11.41
Victor Harbor,7,AU,1604974429,30,-35.57,138.62,97.0,7.0
Berlevåg,100,NO,1604974430,81,70.86,29.09,36.59,28.1
Avarua,0,CK,1604974263,74,-21.21,-159.78,80.6,9.17
Omboué,100,GA,1604974430,87,-1.57,9.26,75.85,4.97
Kruisfontein,16,ZA,1604974431,92,-34.0,24.73,48.99,1.01
San Vicente,95,AR,1604974431,100,-26.62,-54.13,62.69,1.43
San Quintín,0,MX,1604974431,58,30.48,-115.95,59.43,9.89
Kysyl-Syr,100,RU,1604974431,92,63.9,122.76,0.68,11.68
Port Elizabeth,0,ZA,1604974432,76,-33.92,25.57,57.2,9.17
Sambava,13,MG,1604974432,88,-14.27,50.17,71.49,9.35
Taoudenni,0,ML,1604974432,18,22.68,-3.98,77.38,9.8
Peniche,0,PT,1604974433,92,39.36,-9.38,54.0,3.67
Hasaki,20,JP,1604974433,47,35.73,140.83,57.99,12.75
Airai,100,TL,1604974434,53,-8.93,125.41,76.91,3.53
Ishinomaki,40,JP,1604974435,55,38.42,141.3,48.2,14.99
Sukumo,0,JP,1604974436,53,32.93,132.73,58.32,9.86
Naze,40,JP,1604974436,60,28.37,129.48,71.6,14.99
Pacific Grove,1,US,1604974161,50,36.62,-121.92,53.6,6.93
Paphos,94,CY,1604974437,63,34.77,32.42,64.4,9.17
Inyonga,62,TZ,1604974437,56,-6.72,32.07,69.84,4.74
Chokurdakh,58,RU,1604974233,90,70.63,147.92,-16.6,1.48
Treinta y Tres,100,UY,1604974438,81,-33.23,-54.38,60.4,9.53
Ugoofaaru,70,MV,1604974438,78,5.67,73.0,82.67,7.67
Flinders,0,AU,1604974439,58,-34.58,150.86,73.99,5.99
Balabac,100,PH,1604974439,81,7.99,117.06,80.89,8.95
Vao,88,NC,1604974439,69,-22.67,167.48,70.5,16.89
Philadelphia,1,US,1604974439,77,39.95,-75.16,64.0,6.93
Itaituba,5,BR,1604974440,74,-4.28,-55.98,77.67,1.99
Ilulissat,100,GL,1604974440,93,69.22,-51.1,7.2,4.72
Nikolskoye,0,RU,1604974440,89,59.7,30.79,32.0,6.71
Port Hawkesbury,1,CA,1604974441,100,45.62,-61.35,50.0,2.24
Fairbanks,90,US,1604974214,79,64.84,-147.72,24.8,2.01
Guerrero Negro,0,MX,1604974441,61,27.98,-114.06,62.33,10.83
Dārāb,0,IR,1604974442,53,28.75,54.54,52.56,1.88
Murud,0,IN,1604974442,51,18.33,72.97,69.98,6.6
Puerto Ayora,30,EC,1604974442,85,-0.74,-90.35,68.0,1.01
Vardø,4,NO,1604974443,75,70.37,31.11,38.39,27.49
Kampong Thom,100,KH,1604974443,71,12.71,104.89,75.4,9.35
Saskylakh,100,RU,1604974444,93,71.92,114.08,10.02,21.61
Dabat,0,ET,1604974447,52,12.98,37.77,50.72,6.29
Zorritos,40,PE,1604974447,82,-3.68,-80.68,68.27,10.56
Kłobuck,90,PL,1604974448,93,50.9,18.94,41.0,10.29
Province of Trapani,0,IT,1604974448,81,37.83,12.67,62.01,3.36
George Town,20,MY,1604974449,83,5.41,100.34,84.2,3.36
Bilibino,90,RU,1604974449,90,68.05,166.44,-1.28,2.17
Belyy Yar,0,RU,1604974450,77,53.6,91.39,32.0,6.71
Tumut,1,AU,1604974451,51,-35.3,148.22,73.78,5.82
Joshīmath,64,IN,1604974451,39,30.57,79.57,51.24,3.29
Jamestown,1,US,1604974451,55,42.1,-79.24,62.6,9.17
Codrington,0,AU,1604974452,61,-38.27,141.97,81.07,16.22
Gambo,38,CF,1604974452,96,4.65,22.26,66.61,0.98
Idaho Falls,90,US,1604974364,74,43.47,-112.03,28.4,11.41
Tibati,94,CM,1604974452,60,6.47,12.63,66.61,2.33
Kasangulu,40,CD,1604974453,94,-4.59,15.17,69.8,2.24
Bemidji,1,US,1604974453,73,47.47,-94.88,25.0,12.75
Dzhebariki-Khaya,0,RU,1604974453,83,62.22,135.8,-11.29,1.57
Avilés,43,ES,1604974454,93,43.55,-5.92,55.0,5.82
Esim,23,GH,1604974454,86,4.87,-2.24,77.92,6.55
Muros,4,ES,1604974454,95,42.78,-9.06,54.0,1.99
Dikson,95,RU,1604974454,96,73.51,80.55,10.29,11.05
Vågåmo,64,NO,1604974455,81,61.88,9.1,35.01,0.92
Saint Paul Harbor,1,US,1604974455,52,57.79,-152.41,44.6,5.82
Cam Ranh,90,VN,1604974456,94,11.92,109.16,77.0,16.11
Townsville,90,AU,1604974456,54,-19.25,146.8,84.2,17.22
Hofn,100,IS,1604974457,91,64.25,-15.21,46.67,11.95
Boa Vista,0,BR,1604974220,74,2.82,-60.67,82.4,6.93
St. George's,20,GD,1604974457,83,12.06,-61.75,82.4,17.22
Yar-Sale,84,RU,1604974478,95,66.83,70.83,6.98,7.18
Ayan,0,RU,1604974479,84,56.45,138.17,10.96,8.52
Casino,2,AU,1604974479,47,-28.87,153.05,77.0,8.05
Geraldton,75,AU,1604974480,48,-28.77,114.6,66.2,17.22
Zhigansk,100,RU,1604974483,92,66.77,123.37,-3.08,25.64
Chernivtsi,100,UA,1604974483,91,48.29,25.94,45.0,3.87
Lata,0,PT,1604974483,98,40.16,-8.33,54.0,2.15
Sitka,20,US,1604974484,87,57.05,-135.33,42.8,10.29
Leningradskiy,100,RU,1604974484,93,69.38,178.42,20.53,6.2
Wawa,26,NG,1604974485,40,9.9,4.42,74.46,6.4
Thompson,90,CA,1604974485,92,55.74,-97.86,17.6,16.11
Shingū,20,JP,1604974486,54,33.73,135.98,57.2,14.99
Opuwo,1,NA,1604974486,44,-18.06,13.84,65.17,0.13
Kilindoni,18,TZ,1604974486,82,-7.91,39.67,79.88,13.73
Namatanai,45,PG,1604974487,75,-3.67,152.43,83.89,5.77
Marsá Maţrūḩ,40,EG,1604974487,67,31.35,27.25,62.6,5.82
Caxias,0,PT,1604974487,93,38.7,-9.28,57.99,5.82
Goderich,0,CA,1604974488,67,43.75,-81.72,60.8,8.05
Isangel,90,VU,1604974488,78,-19.55,169.27,80.6,6.93
Coquimbo,57,CL,1604974203,87,-29.95,-71.34,55.4,3.36
Kenitra,1,MA,1604974489,93,34.26,-6.58,57.2,4.7
Hambantota,20,LK,1604974489,100,6.12,81.12,75.2,2.24
Banepā,20,NP,1604974489,87,27.63,85.52,53.6,2.24
Obo,42,CF,1604974489,76,5.4,26.49,68.67,2.62
Cherskiy,100,RU,1604974490,94,68.75,161.3,2.37,3.13
Lábrea,43,BR,1604974490,95,-7.26,-64.8,75.04,2.15
Arraial do Cabo,90,BR,1604974395,94,-22.97,-42.03,73.65,10.94
Byron Bay,90,AU,1604974491,64,-28.65,153.62,75.0,10.29
Nome,90,US,1604974491,100,64.5,-165.41,34.0,16.11
Waipawa,100,NZ,1604974492,87,-41.41,175.52,50.0,29.97
Syracuse,0,IT,1604974492,93,37.09,15.28,57.0,4.7
Llanes,67,ES,1604974493,77,43.42,-4.75,60.01,2.68
Puerto Ayacucho,100,VE,1604974493,88,5.66,-67.62,76.12,4.09
Souillac,75,MU,1604974495,83,-20.52,57.52,71.6,10.29
Hokitika,0,NZ,1604974497,60,-42.72,170.97,61.09,10.13
Eston,20,CA,1604974497,84,51.15,-108.75,3.99,10.29
Haghartsin,18,AM,1604974498,59,40.78,44.97,43.92,4.23
Lebu,0,CL,1604974437,90,-37.62,-73.65,52.84,18.66
Cape Town,0,ZA,1604974342,62,-33.93,18.42,55.99,17.22
Yellowknife,75,CA,1604974499,92,62.46,-114.35,24.01,5.82
Palembang,75,ID,1604974357,83,-2.92,104.75,82.4,6.93
Pokhara,0,NP,1604974499,29,28.23,83.98,65.8,2.68
Havelock,40,US,1604974500,93,34.88,-76.9,66.0,6.44
Vestmannaeyjar,91,IS,1604974500,65,63.44,-20.27,45.46,18.23
Coffs Harbour,0,AU,1604974341,60,-30.3,153.13,71.6,10.29
Touros,75,BR,1604974501,100,-5.2,-35.46,75.2,3.36
Hirara,75,JP,1604974501,64,24.8,125.28,75.2,19.46
Srednekolymsk,100,RU,1604974502,91,67.45,153.68,-7.22,10.87
Mahébourg,75,MU,1604974502,83,-20.41,57.7,71.6,10.29
Dingle,37,PH,1604974502,70,11.0,122.67,84.81,3.49
Bontang,41,ID,1604974503,61,0.13,117.5,85.91,4.97
Nampula,0,MZ,1604974503,88,-15.12,39.27,73.0,9.17
Tirumullaivāsal,0,IN,1604974503,75,11.23,79.83,76.6,15.32
Mahanje,91,TZ,1604974504,87,-9.93,35.33,63.45,2.82
Rajanpur,0,PK,1604974504,30,29.1,70.33,62.55,3.98
Beisfjord,78,NO,1604974505,91,68.38,17.6,32.0,5.82
Kingsville,1,US,1604974505,88,27.52,-97.86,73.4,11.41
Ada,1,US,1604974505,84,43.42,-116.13,32.0,3.36
Sørland,100,NO,1604974506,72,67.67,12.69,39.2,5.73
Mahibadhoo,87,MV,1604974507,77,3.78,72.97,82.87,8.95
Cidreira,100,BR,1604974507,91,-30.18,-50.21,67.55,16.49
Workington,65,GB,1604974508,88,54.64,-3.54,55.0,1.01
Sobolevo,91,RU,1604974508,88,54.43,31.9,37.31,8.88
Krasnosel'kup,87,RU,1604974509,95,65.7,82.47,7.2,3.56
Sulangan,36,PH,1604974509,77,11.14,123.72,82.81,12.06
Talnakh,40,RU,1604974509,84,69.49,88.4,3.2,6.71
Abu Samrah,0,SY,1604974510,66,35.3,37.18,59.09,2.48
Linqu,0,CN,1604974510,30,36.52,118.54,64.0,4.72
Abu Dhabi,0,AE,1604974214,78,24.47,54.37,77.0,4.7
Vila Franca do Campo,75,PT,1604974510,82,37.72,-25.43,66.2,16.11
Ponta do Sol,40,PT,1604974511,72,32.67,-17.1,64.4,8.05
Danielskuil,93,ZA,1604974512,29,-28.19,23.54,62.89,6.22
Adrar,0,MR,1604974513,17,20.5,-10.07,78.15,7.58
Alice Springs,0,AU,1604974513,7,-23.7,133.88,102.2,26.4
La Ronge,35,CA,1604974513,84,55.1,-105.28,1.4,1.12
Sakakah,0,SA,1604974515,87,29.97,40.21,60.8,6.93
Lüderitz,0,NA,1604974516,60,-26.65,15.16,56.28,22.66
Halifax,0,CA,1604974516,93,44.65,-63.57,50.0,2.24
Lima,0,PE,1604974489,77,-12.04,-77.03,64.4,9.17
Viranşehir,0,TR,1604974517,55,37.24,39.76,59.74,6.78
Chumikan,0,RU,1604974517,90,54.72,135.31,9.12,21.41
Gazalkent,55,UZ,1604974517,86,41.56,69.77,41.0,2.24
Dunedin,21,NZ,1604974518,64,-45.87,170.5,55.0,11.01
Kurumkan,39,RU,1604974518,92,54.3,110.3,31.96,0.67
Ilhéus,0,BR,1604974518,74,-14.79,-39.05,78.8,6.93
Ambilobe,6,MG,1604974519,78,-13.2,49.05,71.2,4.88
Mount Isa,0,AU,1604974519,25,-20.73,139.5,96.8,16.11
Igarka,94,RU,1604974519,93,67.47,86.58,1.38,3.2
Saldanha,1,ZA,1604974541,71,-33.01,17.94,51.8,9.17
Matagami,90,CA,1604974541,77,49.75,-77.63,60.8,12.75
Avera,40,US,1604974542,88,33.19,-82.53,71.6,5.82
Kungurtug,0,RU,1604974543,88,50.6,97.52,25.52,0.4
Perivoli,0,GR,1604974543,97,39.42,20.01,57.0,6.15
Bandarbeyla,31,SO,1604974543,85,9.49,50.81,75.92,13.56
Ust-Tsilma,98,RU,1604974543,98,65.44,52.15,28.69,5.79
Novomikhaylovskiy,4,RU,1604974544,85,44.26,38.86,50.56,9.22
Yulara,99,AU,1604974544,13,-25.24,130.99,98.6,12.75
Fortuna,75,US,1604974545,67,40.6,-124.16,45.0,4.7
Salalah,0,OM,1604974512,60,17.02,54.09,73.4,3.36
Skjervøy,100,NO,1604974545,81,70.03,20.97,37.45,25.1
Ascension,90,US,1604974546,83,30.22,-90.9,71.6,3.87
Kearney,90,US,1604974546,92,40.7,-99.08,32.0,20.8
Rayong,20,TH,1604974546,61,12.83,101.43,78.8,9.17
Kathu,20,TH,1604974546,78,7.92,98.33,84.99,8.05
Quesnel,90,CA,1604974547,92,53.0,-122.5,28.4,10.29
Doha,0,QA,1604974426,78,25.29,51.53,77.0,3.36
Kitimat,100,CA,1604974547,95,54.05,-128.65,36.0,3.89
Russell,40,US,1604974548,69,32.35,-85.2,75.2,12.75
Port Hardy,90,CA,1604974548,93,50.7,-127.42,39.2,4.7
Pangnirtung,74,CA,1604974548,84,66.15,-65.71,4.46,2.04
Poum,100,NC,1604974548,73,-20.23,164.02,74.73,12.12
Juan Lacaze,55,UY,1604974549,83,-34.43,-57.44,59.0,12.06
Kondagaon,0,IN,1604974549,68,19.6,81.67,60.57,3.6
Fortuna Foothills,1,US,1604974550,18,32.66,-114.41,62.6,6.93
Karratha,0,AU,1604974550,24,-20.74,116.85,87.96,11.01
Nuuk,95,GL,1604974284,87,64.18,-51.72,12.97,6.13
Cap Malheureux,1,MU,1604974551,68,-19.98,57.61,73.0,1.99
Nosy Varika,18,MG,1604974551,89,-20.58,48.53,69.96,3.22
Hualmay,45,PE,1604974551,86,-11.1,-77.61,61.27,3.71
Tautira,40,PF,1604974551,69,-17.73,-149.15,82.4,9.17
Candelaria,87,PH,1604974552,85,13.93,121.42,81.0,5.99
San Jerónimo,69,PE,1604974552,65,-11.95,-75.28,52.3,2.71
Slave Lake,90,CA,1604974553,79,55.28,-114.77,23.0,5.82
Moerai,100,PF,1604974553,82,-22.43,-151.33,75.63,19.66
Thap Than,92,TH,1604974553,63,15.46,99.89,76.15,7.74
Defiance,1,US,1604974554,56,41.33,-84.45,69.8,6.93
Ushtobe,100,KZ,1604974554,61,45.25,77.98,40.77,7.31
Burns Lake,93,CA,1604974554,96,54.23,-125.75,32.0,2.21
Paamiut,98,GL,1604974555,87,61.99,-49.67,24.1,24.94
Manadhoo,67,MV,1604974555,78,5.77,73.38,82.92,8.52
Santa Helena,75,BR,1604974555,96,-2.23,-45.3,74.52,2.53
La Curva,80,PH,1604974556,70,12.4,121.05,83.84,0.98
Kambove,78,CD,1604974556,80,-10.88,26.6,63.07,4.07
Mława,90,PL,1604974556,100,53.11,20.38,39.0,1.12
Faya,0,SA,1604974557,47,18.39,42.45,55.4,1.68
São Gabriel da Cachoeira,99,BR,1604974557,89,-0.13,-67.09,75.85,0.69
Port Lincoln,79,AU,1604974557,31,-34.73,135.87,88.41,25.01
Gazojak,0,TM,1604974290,68,41.19,61.4,41.41,6.22
Padang,98,ID,1604974558,73,-0.95,100.35,81.81,2.64
Mīzan Teferī,89,ET,1604974558,90,6.98,35.58,61.56,2.3
Cabedelo,40,BR,1604974558,94,-6.98,-34.83,75.2,11.41
San Miguel de Cozumel,40,MX,1604974559,74,20.51,-86.95,81.0,17.22
Semnan,100,IR,1604974559,63,35.57,53.4,47.07,0.38
Mayo,1,US,1604974560,93,38.89,-76.51,61.0,5.82
Harper,89,LR,1604974560,85,4.38,-7.72,77.9,8.21
Palu,88,ID,1604974560,51,-0.89,119.87,90.34,2.04
Ruteng,71,ID,1604974560,63,-8.61,120.47,77.36,3.09
Wagar,96,SD,1604974582,50,16.15,36.2,75.72,7.7
Ulefoss,100,NO,1604974582,96,59.28,9.26,42.01,4.0
Kiama,0,AU,1604974583,63,-34.68,150.87,73.99,14.25
Narsaq,26,GL,1604974583,87,60.92,-46.05,24.69,3.8
Houston,75,US,1604974369,88,29.76,-95.36,75.2,11.41
Mendi,45,PG,1604974605,74,-6.18,143.65,69.12,4.07
Verkhnevilyuysk,100,RU,1604974605,96,63.45,120.32,15.44,3.31
Innisfail,59,AU,1604974606,54,-17.53,146.03,79.0,5.99
Bacolod City,10,PH,1604974606,71,10.67,122.95,84.22,3.94
Sūsangerd,75,IR,1604974606,64,31.56,48.18,71.6,2.24
Homer,90,US,1604974607,60,59.64,-151.55,42.8,8.05
Esperance,75,AU,1604974607,51,-33.87,121.9,60.8,33.33
Puerto Maldonado,100,PE,1604974607,95,-12.6,-69.18,73.96,5.68
Loknya,0,RU,1604974607,93,56.83,30.15,36.19,6.93
Palmer,20,US,1604974608,93,42.16,-72.33,52.0,2.66
Moree,0,AU,1604974608,32,-29.47,149.85,80.6,9.17
Kwang Binh,100,VN,1604974608,79,17.48,106.6,72.23,20.2
Mandsaur,0,IN,1604974609,34,24.07,75.07,63.41,3.67
Tezu,11,IN,1604974609,40,27.92,96.17,74.77,0.98
Tarko-Sale,100,RU,1604974609,91,64.92,77.78,12.99,4.81
Requena,0,ES,1604974609,96,39.49,-1.1,44.01,1.01
Rujewa,96,TZ,1604974610,71,-8.7,34.38,66.85,6.98
Nālūt,66,LY,1604974610,71,30.33,10.85,52.97,4.0
Goya,0,AR,1604974610,89,-29.14,-59.26,67.12,7.18
Ryōtsu-minato,75,JP,1604974611,81,38.08,138.43,46.4,10.29
Lerwick,100,GB,1604974611,100,60.15,-1.15,51.8,11.41
Santa Maria,90,BR,1604974611,94,-29.68,-53.81,68.0,10.29
Ulladulla,0,AU,1604974611,46,-35.35,150.47,73.0,3.36
Pisco,0,PE,1604974612,82,-13.7,-76.22,64.4,12.75
Talara,38,PE,1604974612,87,-4.58,-81.27,63.72,12.66
Killybegs,52,IE,1604974612,95,54.63,-8.45,52.0,3.0
Xixiang,0,CN,1604974613,33,35.16,112.86,61.05,7.81
Teguise,0,ES,1604974613,77,29.06,-13.56,66.2,8.05
Kidal,0,ML,1604974613,25,18.44,1.41,68.05,11.74
Bantou,0,CN,1604974614,42,26.22,117.49,67.32,3.62
Bend,90,US,1604974615,51,44.06,-121.32,37.4,6.69
Olinda,75,BR,1604974451,78,-8.01,-34.86,80.6,9.17
Ferkessédougou,45,CI,1604974616,50,9.6,-5.2,74.44,1.43
Necochea,100,AR,1604974616,78,-38.55,-58.74,60.01,7.0
Kilembe,50,UG,1604974616,77,0.2,30.0,60.35,3.49
Rawson,91,AR,1604974617,72,-43.3,-65.1,63.16,4.45
Tevaitoa,100,PF,1604974617,78,-16.78,-151.5,79.61,14.29
Fort-Shevchenko,100,KZ,1604974617,72,44.51,50.26,52.12,7.14
Manakara,50,MG,1604974618,89,-22.13,48.02,70.7,5.93
Camalú,0,MX,1604974618,52,30.85,-116.07,50.0,1.01
Isla Vista,1,US,1604974619,34,34.41,-119.86,52.0,5.75
Trojes,0,AL,1604974619,100,41.76,19.96,44.6,3.36
Caravelas,50,BR,1604974619,86,-17.71,-39.25,74.61,7.2
Pedasí,4,PA,1604974620,88,7.53,-80.03,78.39,9.01
